Date,Lat,Lng,City,Country,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
6/13/2018,-8.74,25,Kamina,CD,0,23,85,7.99
6/13/2018,7.38,8.57,Yaan,NG,48,100,85.9,7.09
6/13/2018,21.35,-158.09,Makakilo City,US,1,83,77,4.7
6/13/2018,28.17,94.8,Along,IN,100,98,68.89,1.5
6/13/2018,-2.67,141.3,Vanimo,PG,88,100,83.65,4.29
6/13/2018,63.83,10.7,Hovd,NO,75,48,62.6,4.7
6/13/2018,39.15,9.02,La Maddalena,IT,40,57,75.2,17.22
6/13/2018,-20.01,57.66,Grand Gaube,MU,75,69,75.2,14.99
6/13/2018,61.94,76.66,Novoagansk,RU,20,37,67.81,8.43
6/13/2018,40.7,-99.08,Kearney,US,90,64,71.6,14.99
6/13/2018,49.72,-86.95,Geraldton,CA,75,63,62.6,8.05
6/13/2018,-42.48,-73.76,Castro,CL,0,99,39.73,2.73
6/13/2018,-15.51,167.18,Luganville,VU,92,100,75.19,4.85
6/13/2018,-20.41,57.7,Mahebourg,MU,75,69,75.2,14.99
6/13/2018,46.45,135.83,Vostok,RU,44,83,45.04,1.95
6/13/2018,10.24,-61.45,Esperance,TT,75,88,80.6,12.75
6/13/2018,-16.7,-151.02,Fare,PF,0,100,79.42,13.91
6/13/2018,52.47,96.11,Toora-Khem,RU,92,83,57.82,2.84
6/13/2018,10.21,-67.56,Santa Rita,VE,36,64,83.65,2.73
6/13/2018,50.71,-2.76,West Bay,GB,40,77,68,12.75
6/13/2018,28.28,88.52,Gamba,CN,92,91,32.35,2.28
6/13/2018,50.8,44.56,Rudnya,RU,92,88,63.31,7.65
6/13/2018,65.28,-126.83,Norman Wells,CA,90,65,44.6,5.82
6/13/2018,36.67,-121.66,Salinas,US,1,67,60.8,3.62
6/13/2018,5.67,73,Ugoofaaru,MV,80,100,82.93,8.77
6/13/2018,-6.12,141.3,Kiunga,PG,88,94,74.29,2.06
6/13/2018,-20.56,164.28,Koumac,NC,76,96,67.9,4.07
6/13/2018,13.47,22.2,Adre,TD,20,16,103.27,8.66
6/13/2018,42.1,27.94,Ahtopol,BG,0,57,77,13.87
6/13/2018,59.12,28.09,Slantsy,RU,0,55,62.5,4.18
6/13/2018,57.01,-5.83,Mallaig,GB,92,99,53.95,24.09
6/13/2018,43.65,0.59,Auch,FR,40,56,73.4,10.29
6/13/2018,16.78,94.73,Pathein,MM,92,96,76.9,14.81
6/13/2018,-9.67,-35.74,Maceio,BR,75,88,75.2,6.93
6/13/2018,43.19,-0.61,Oloron-Sainte-Marie,FR,88,93,68,11.41
6/13/2018,-19.55,169.27,Isangel,VU,68,100,74.2,14.36
6/13/2018,29.79,77.88,Manglaur,IN,0,64,82.57,2.39
6/13/2018,28.38,121.38,Wenling,CN,92,95,74.56,3.96
6/13/2018,8.35,100.2,Pak Phanang,TH,48,93,85.99,10.22
6/13/2018,47.27,39.86,Aksay,RU,0,21,87.43,3.74
6/13/2018,33.3,44.38,Baghdad,IQ,0,14,104,4.7
6/13/2018,58.81,-122.69,Fort Nelson,CA,90,86,41,9.17
6/13/2018,-21.04,-57.87,Fuerte Olimpo,BR,92,75,60.97,12.8
6/13/2018,22.2,92.22,Bandarban,BD,90,94,80.6,13.87
6/13/2018,19.55,-71.08,Mao,DO,40,62,89.6,12.75
